pid,name,title,description,preview,url,year,stylecat,department,division
1,K. Meira Goldberg,Sonidos Negros : on the blackness of flamenco,"Sonidos Negros traces how, in the span between 1492--the year in which Christian reconquest of the Iberian Peninsula coincided with Christopher Columbus's landing on Hispaniola--and 1933--when Andalusian poet Federico Garcâia Lorca published his 'Theory and Play of the Duende'--the Moor became Black, and how the imagined Gitano (""Gypsy,"" or Roma) embodies the warring images and sounds of this process. By the nineteenth-century nadir of its colonial reach, Spanish identity came to be enacted in terms of a minstrelized Gitano, a hybrid of American and Spanish representations of Blackness. The imagined Gypsy about which flamenco imagery turns dances on a knife's edge delineating Black and White worlds. Teetering between ostentatious and damning confusion and the humility of epiphany, this figure relates to an earlier Spanish trope: the pastor bobo (foolish shepherd), who, seeing an angelic apparition, must decide whether to accept the light of Christ--or remain in darkness. Spain's symbolic linkage of this religious peril with the Blackness of enslavement constitutes the evangelical narrative which vanquished the Moors and enslaved the Americas, an ideological framework that would be deployed by all the colonial slaving powers. The bobo's precarious state of confusion, appealingly comic but also holding the pathos of the ultimate stakes of his decision--heaven or hell, safety or extermination--opens up a teeming view of the embodied politics of colonial exploitation and creole identity formation. Flamenco's Sonidos Negros live in this eternal moment of bulla, the confusion and ruckus that protect embodied resistance to subjugation, the lament for what has been lost, and the values and aspirations of those rendered imperceptible by enslavement and colonization.",http://books.google.com/books?id=xdp1DwAAQBAJ&hl,http://books.google.com/books/content?id=xdp1DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE72Rr75gqOLq8D3-4_uZH3H9rY77haxwQBz4ZACigT4w1uAYCpe03VMtSJ3UNsokX_BZaCk8j8eg8fv5wBpIx6DHydA192COJpViM1UkninImfkar_O2nZES18VW7OCqbXNz2bId&source=gbs_api,2019,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000162030,"Film, Media and Performing Arts",Liberal Arts
2,Andrea Kleine,Eden : a novel,"A bold, page-turning novel that follows how a childhood abduction sets two sisters on very different courses ... Every other weekend, Hope and Eden--backpacks, Walkmans, and homework in hand--wait for their father to pick them up, as he always does, at a strip-mall bus stop. It’s the divorce shuffle; they’re used to it. Only this weekend, he’s screwed up, forgotten, and their world will irrevocably change when a stranger lures them into his truck with a false story and smile. More than twenty years later, Hope is that classic New York failure: a playwright with only one play produced long ago, newly evicted from an illegal sublet, working a humiliating temp job. Eden has long distanced herself from her family, and no one seems to know where she is. When the man who abducted them is up for parole, the girls might be able to offer testimony to keep him jailed. Hope sets out to find her sister--and to find herself--and it becomes the journey of a lifetime, taking her from hippie communes to cities across the country. Suspenseful and moving, Eden asks: how much do our pasts define us, and what price do we pay if we break free?",http://books.google.com/books?id=d7osDwAAQBAJ&hl,http://books.google.com/books/content?id=d7osDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE71nMMRFYxSA3fIr8PSoacbQFbEGr5iwsGQRWPHlBV-8z1r64xK0qWkMwwHnQFY_PWBH8L1_5WSlapM3LVQfuD2adj4VfaTVGRVB2VNHHJ5_mr1JkH14nixJD0_9iXPIYFozr3pG&source=gbs_api,2018,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000161331,Acquisitions & Metadata Services,Library
3,Amy Werbel,Lust on trial : censorship and the rise of American obscenity in the age of Anthony Comstock,"Anthony Comstock was America’s first professional censor. From 1873 to 1915, as Secretary of the New York Society for the Suppression of Vice, Comstock led a crusade against lasciviousness, salaciousness, and obscenity that resulted in the confiscation and incineration of more than three million pictures, postcards, and books he judged to be obscene. But as Amy Werbel shows in this rich cultural and social history, Comstock’s campaign to rid America of vice in fact led to greater acceptance of the materials he deemed objectionable, offering a revealing tale about the unintended consequences of censorship. In Lust on Trial, Werbel presents a colorful journey through Comstock’s career that doubles as a new history of post–Civil War America’s risqué visual and sexual culture. Born into a puritanical New England community, Anthony Comstock moved to New York in 1868 armed with his Christian faith and a burning desire to rid the city of vice. Werbel describes how Comstock’s raids shaped New York City and American culture through his obsession with the prevention of lust by means of censorship, and how his restrictions provided an impetus for the increased circulation and explicitness of “obscene” materials. By opposing women who preached sexual liberation and empowerment, suppressing contraceptives, and restricting artistic expression, Comstock drew the ire of civil liberties advocates, inspiring more open attitudes toward sexual and creative freedom and more sophisticated legal defenses. Drawing on material culture high and low, including numerous examples of the “obscenities” Comstock seized, Lust on Trial provides fresh insights into Comstock’s actions and motivations, the sexual habits of Americans during his era, and the complicated relationship between law and cultural change.",http://books.google.com/books?id=9UpBDwAAQBAJ&hl,http://books.google.com/books/content?id=9UpBDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE73r1LyrGQ0GVLbtki3fl_OimeAo_0_oF8l9meZPQH6XOJN9HcOyAnP8CI5zmzBmXCR7MXVkMH6W3k8f8EZVjQKts2ogGXM1SVaZWtxdEYjxMprgtrwadmxVxoS5vyCDb3IJ7GZU&source=gbs_api,2018,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000160209,History of Art,Liberal Arts
4,Linda Tain,Portfolio presentation for fashion designers,"Portfolio Presentation for Fashion Designers, Fourth Edition, is still your best guide to showing your designs, skill sets, and creativity, to get you that job. In new images throughout, the book shows examples of croquis books, spec and flat drawings, and visual research presentations from both fashion professionals and students. From concept through finished product, Portfolio Presentation for Fashion Designers is an indispensable tool to help you prepare your career for the next chapter.",http://books.google.com/books?id=mzFCDwAAQBAJ&hl,http://books.google.com/books/content?id=mzFCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE70jQAh40v6mCFLMjeHkkgS2uqTa4sQWn6NNy9HKgDmkawc0t85UvExHkA76A9k7avzBePLfyNoEp_Qd6JXrR4qVIQOcBA-TsgoynesDq9L915f9d4NJWngFpQSxejp2JwMeZa57&source=gbs_api,2018,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000160309,Fashion Design,Art & Design
5,Andrew Weinstein,Baneful medicine,"The exhibition Baneful Medicine brings together contemporary art that engages issues of the history and ethics around biomedical research. Curated by Andrew Weinstein. Located in The Cooper Union Library. The bodies of people of color, the poor around the world, the incarcerated and military personnel have a history of being used as tissue for research. In 1946-47 Americans held Nazi doctors to account at the Nuremberg Doctors' Trial and initiated modern bioethics with the mandate of ""informed consent"" for human research subjects. Nevertheless, the U.S. government-funded Tuskegee syphilis study continued for decades after. Now that researchers pursue genomics toward an unknown future, does bioethics have what it takes to address still different challenges? How will biotechnological developments affect society's laws and norms? How much more conscientious are medical scientists today than they used to be",http://books.google.com/books?id=iGrmtwEACAAJ&hl,,2018,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000160366,History of Art,Liberal Arts
6,Lourdes Font,The hidden history of American fashion : rediscovering twentieth-century women designers,"This book is the first in-depth exploration of the revolutionary designers who defined American fashion in its emerging years and helped build an industry with global impact, yet have been largely forgotten. Focusing on female designers, the authors reclaim a place in history for the women who created not only for celebrities and socialites, but for millions of fashion-conscious customers across the United States. From one of America's first couturiers, Jessie Franklin Turner, to Zelda Wynn Valdes, the book captures the lost histories of the luminaries who paved the way in the world of American fashion design. This fully illustrated collection takes us from Hollywood to Broadway, from sportswear to sustainable fashion, and explores important crossovers between film, theater, and fashion. Uncovering fascinating histories of the design pioneers we should know about, the book enlarges the prevailing narrative of fashion history and will be an important reference for fashion students, historians, costume curators, and fashion enthusiasts alike.",http://books.google.com/books?id=Ne48DwAAQBAJ&hl,http://books.google.com/books/content?id=Ne48DwAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70_2_SeybzHDdaNzCHpbF9iyNBaOxRnCVqyX0IplrO0bv2Q9lXD5LJk9GiaH9rziBeJFh5Ddibare3WtrP1cR2Z9kARJnA5yopbAHnEC3IaHbczs5KDIHTSy2Dc48yrRWP91UnN&source=gbs_api,2018,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000160466,History of Art,Liberal Arts
7,Rebecca Bauman,"Masculinity, melodrama and quality TV : reviewing La piovra","The 1980s Italian television series La piovra (The Octopus) is the first important televisual intervention on the Mafia, yet it is often forgotten in contemporary television scholarship. This article positions La piovra in the current trend of 'quality' television by locating it in the subgenre of male melodrama. This article demonstrates that La piovra is not just an expose of organized crime but is a complex meditation on the vulnerability of Italian masculinity, a thematic that likens the series to today's male-themed quality television series and makes a critical re-evaluation of the show timely.",,/assets/images/bauman-cover.jpg,2018,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000161288,Modern Languages & Cultures,Liberal Arts
8,Marcia Biederman,Popovers and candlelight : Patricia Murphy and the rise and fall of a restaurant empire,"What would you do with your last sixty dollars? If you were Patricia Murphy you’d turn it into a fortune by buying a rundown Brooklyn diner. On the cusp of the Great Depression, the diner became an overnight sensation, the first of nine popular Patricia Murphy’s Candlelight Restaurants that opened over the course of four decades in New York and Florida. Popovers and Candlelight recounts how Murphy bucked Mad Men–erasexism in a male-dominated field and created remarkable dining experiences with solid American fare, a talented staff, and eye-popping décor. Dripping in diamonds, she transcended ethnic prejudices to become a socialite and built a brand that sold fragrance as well as food. Mutinous siblings, a desperate manager, and a typhoid outbreak brought it all to an operatic end, but Marcia Biederman restores Murphy and her contributions to their proper place in women’s and culinary history. This book will delight readers with its rags-to-riches story and fascinating view of class, gender, ethnicity, and food culture during much of the twentieth century.",http://books.google.com/books?id=sDFuDwAAQBAJ&hl,http://books.google.com/books/content?id=sDFuDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE70q8DSOyXtpSXL5piSswTA6D9m-mtU9H4BE8PSqGE7CFhc77KhG0zcWB71lpbXmDy1vTM8I0VotPrtwWzj2dQ6nyiZa6oK_xkatakaJ9l-aGiXPyUC1uqr593Z_ZdZOHtTX7_Om&source=gbs_api,2018,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000161966,ESL and the Fashion Business,Center for Continuing and Professional Studies
9,Arlene Gottfried,Sometimes overwhelming,"A reprint, now in paperback, of one of Arlene's best books. Gone but never forgotten, Arlene was beloved by many and her work deserves a larger audience. Start here. Before gentrification, New York City was a gritty and inspiring place. And in its midst was Arlene Gottfried, whose eye for the sublime caught it all. Sometimes Overwhelming, her second powerHouse Book, is a manic yet romantic ode to the people of New York City in the 1970s and 80s. From Coney Island to a Hasid at Riis Beach's nude bay to the disco nights of sexual abandon and the children in the original Village Halloween parade, Sometimes Overwhelming is a delightfully lighthearted look at the most outrageous people you might ever see.",http://books.google.com/books?id=DRs2tAEACAAJ&hl,http://books.google.com/books/content?id=DRs2tAEACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73s4XV3ta-aF94w-bvzS6gZwR2Y6cB8Ur3pb-94zmdn9TD3HiqT9Lt2U7_LhnSxjEmkPhVPS0dDEaGa97TafCGrma2QoD1B4RraPOpIEitG1FtpJYGSYIYuAmek5wXC_uPmM-uG&source=gbs_api,2018,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000162044,FIT Alumni,
10,Carlos Aponte,A season to bee : a stylish book of colors,"Fashion illustrator Carlos Aponte gives readers front row seats to the runway show of the season! Join Miss V. McQueen and her band of fashion bugs as they flit and flutter their brilliant colors down the catwalk. Ladybug reds, butterfly golds, and grasshopper greens provide young readers with a chic introduction to the colors found all around us.",http://books.google.com/books?id=8Kr0CwAAQBAJ&hl,https://books.google.com/books/content?id=8Kr0CwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE71uF3swlkTNKt7JAVF8Gmg-d-lrFbwRJ73_YPwxCtwZ4UwYiLDTfibpvHUFIod2BDNcS6ucAMR9YV8p61WVbrCnDYFU1YxLmCU0W_C8m_j9f9O2zFvRkUjfgpCuhQ658QqgeAzN&source=gbs_api,2017,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000161217,Illustration,Liberal Arts
